feature,importance,Label,,
afnototal,0.002059213,,,
MAPT_PC4,0.002053968,,,
p_SAA,0.002052251,,,
rh_entorhinal_volume,0.002047355,,,
MAPT_PC1,0.002043693,,,
complex,0.002043095,,,
explosivity,0.002038149,,,
mood,0.00203734,,,
SP_DEM_AD8_Repeat,0.001999369,,,
Right_Hippocampus,0.001992347,,,
SP_MMB_ShortFuse,0.00198565,,,
TES_nb_dysreg,0.001985563,,,
p_IL_13_cv,0.001972869,,,
p_IL_17AGenB,0.001964175,,,
FA_FX,0.001950766,,,
mesialtemporalsuvr,0.001932373,,,
lh_insula_volume,0.001919796,,,
SP_MC_CCI_RemNewPeople,0.001889968,,,
bdhi_indirect,0.001886165,,,
p_MIP_1_beta_cv,0.001885048,,,
qdrscat,0.001868891,,,
nlt2irraw,0.001863454,,,
AD_FX_ST_L,0.001856506,,,
painarea___3,0.00182699,,,
cortisone_where___3,0.001826977,,,
headneckfall,0.001822324,,,
mobility,0.001815926,,,
p_IL_10_cv,0.001804255,,,
tangt_sum,0.001799479,,,
p_IL_23,0.001789704,,,
rh_cuneus_meancurv,0.001787728,,,
FA_SLF_R,0.001787397,,,
discip,0.00176872,,,
Left_Lateral_Ventricle,0.001752879,,,
nlsdraw,0.00171084,,,
nabmazr,0.00170754,,,
rh_inferiortemporal_area,0.001706398,,,
bp_systolic,0.001703328,,,
predcolor,0.001699991,,,
SP_MMB_Anxious,0.001688616,,,
lh_caudalanteriorcingulate_thick,0.001682411,,,
colwordres,0.001676584,,,
minttott,0.001667525,,,
tugt1raw,0.00166686,,,
bdhi_assault,0.001666042,,,
p_IL_3,0.001656637,,,
audit_tot,0.001651124,,,
bvmtrt,0.00162748,,,
p_asyn,0.00162695,,,
rh_lateraloccipital_area,0.00162432,,,
mintwout,0.001603209,,,
weightmax,0.001602677,,,
rh_bankssts_thickness,0.001590899,,,
FA_PCR_R,0.00158144,,,
rh_superiortemporal_meancurv,0.001579552,,,
p_IL_6,0.001578536,,,
probsolve,0.001576705,,,
motor1st,0.001572346,,,
orient,0.001569948,,,
FA_SS_L,0.001568336,,,
lh_superiortemporal_thickness,0.00156282,,,
AD_UNC_L,0.001557312,,,
FA_PLIC_R,0.001551781,,,
attconc,0.001543357,,,
nlrriraw,0.001543183,,,
SP_MC_CCI_RemRecentEvents,0.001540397,,,
rh_WhiteSurfArea_area,0.001527524,,,
p_ttau,0.001513178,,,
rh_parsorbitalis_thickness,0.001512361,,,
p_MCP_4,0.001503141,,,
p_MIP_3alpha,0.001497459,,,
AD_CST_L,0.001491155,,,
lh_postcentral_volume,0.001480785,,,
p_IL_17B,0.001466332,,,
AD_GCC,0.001449095,,,
FA_PTR_L,0.001448125,,,
rh_insula_area,0.001446686,,,
nlscraw,0.00144592,,,
hothead,0.00144444,,,
lh_superiorfrontal_area,0.00143821,,,
Right_Accumbens_area,0.001430259,,,
worth,0.001423219,,,
rh_supramarginal_volume,0.001421902,,,
rh_frontalpole_volume,0.001420957,,,
p_IL_17A,0.001413938,,,
TES_yes_no,0.001413876,,,
SP_MMB_Depressed,0.001411812,,,
lh_parstriangularis_thickness,0.001409942,,,
p_INF_gamma,0.001408007,,,
AD_SS_L,0.001404716,,,
wieightage25,0.00139258,,,
p_IL_4,0.001390186,,,
rh_superiortemporal_thickness,0.001387558,,,
lh_lingual_volume,0.001385099,,,
instruct,0.001384961,,,
AD_RLIC_L,0.001378087,,,
rh_precentral_volume,0.001372962,,,
rh_isthmuscingulate_thickness,0.001372381,,,
lh_lateraloccipital_area,0.001361162,,,
p_SAA_cv,0.001359536,,,
FA_AverageFA,0.001359199,,,
footballrel___0,0.001356966,,,
craftret,0.001352365,,,
MD_ML_L,0.00135013,,,
SP_DEM_AD8_Judgement,0.00134925,,,
lh_transversetemporal_volume,0.001342877,,,
p_asyn_cv,0.001338313,,,
nlt3irper,0.001335568,,,
axixt,0.00133387,,,
rh_inferiortemporal_meancurv,0.001316162,,,
wratrstd,0.001312046,,,
rh_caudalmiddlefrontal_volume,0.00130745,,,
craftvdelz,0.001286679,,,
shift,0.00128642,,,
lh_superiorfrontal_thickness,0.001284923,,,
MC_CCI_RemRecentEvents,0.001276323,,,
p_Eotaxin_3,0.001275934,,,
rh_parsorbitalis_volume,0.001265027,,,
paintoday,0.001264962,,,
p_MDC_cv,0.001263621,,,
p_MCP_4_cv,0.00126176,,,
nervous,0.001256088,,,
AD_SCP_R,0.001255995,,,
lh_inferiorparietal_meancurv,0.001252437,,,
predword,0.001250412,,,
rh_superiorfrontal_volume,0.001246454,,,
AD_CGH_R,0.001241937,,,
impulsivity,0.001236735,,,
criticaloth,0.001230667,,,
AD_SCR_L,0.001227278,,,
lhCortexVol,0.001223491,,,
wordt,0.001223032,,,
Left_vessel,0.001220146,,,
bp_diastolic,0.001216319,,,
RD_CST_R,0.00121592,,,
MD_ALIC_L,0.001214799,,,
rh_insula_meancurv,0.001213897,,,
rh_lateralorbitofrontal_thicknes,0.001212468,,,
MD_ML_R,0.001199872,,,
MD_ALIC_R,0.001197391,,,
p_IL_8_2_cv,0.001196432,,,
p_VEGF_A_2,0.001193432,,,
p_MIP_3alpha_cv,0.001188313,,,
MAPT_H1_gamma_dosage,0.001185825,,,
lh_parsopercularis_area,0.001179515,,,
rh_parstriangularis_thickness,0.001174426,,,
lh_superiorfrontal_volume,0.001171464,,,
lh_inferiortemporal_area,0.00116943,,,
FA_SFO_L,0.001168706,,,
negfeel,0.001168381,,,
FA_FX_ST_R,0.001163783,,,
p_PDGFRbeta,0.001163333,,,
lh_inferiorparietal_area,0.001163003,,,
p_Ab40,0.001157823,,,
thinking,0.00115626,,,
lh_paracentral_area,0.00115395,,,
p_IL_1_beta,0.001149844,,,
p_IL_1_beta_cv,0.001147644,,,
rh_parsorbitalis_meancurv,0.00114534,,,
afnototz,0.001144308,,,
AD_SCC,0.001135742,,,
FA_ICP_R,0.001135594,,,
rh_lingual_meancurv,0.001135176,,,
rh_postcentral_volume,0.001131028,,,
lh_entorhinal_thickness,0.001129801,,,
rh_fusiform_volume,0.001121886,,,
RD_SCC,0.001115824,,,
p_IL_15_cv,0.001112016,,,
craftvdelt,0.001111079,,,
afnotott,0.001107254,,,
MAPT_H1_dosage,0.001106348,,,
lh_parsorbitalis_thickness,0.001104789,,,
uparmb___3,0.00110378,,,
angrier,0.001099554,,,
rh_parstriangularis_meancurv,0.001098238,,,
AD_SFO_R,0.001097108,,,
leftparietalsuvr,0.00109698,,,
nlt1irper,0.001095897,,,
nlairraw,0.001090487,,,
lh_caudalmiddlefrontal_volume,0.001089245,,,
p_VCAM_1,0.001089223,,,
rh_middletemporal_meancurv,0.00108755,,,
lh_parsopercularis_meancurv,0.001085774,,,
nlrripct,0.00108431,,,
p_Ab42,0.001081917,,,
lh_lateraloccipital_thickness,0.001074024,,,
RD_SLF_L,0.001069317,,,
predcw,0.0010671,,,
painarea___1,0.001064626,,,
RD_CGH_R,0.001059409,,,
rh_superiorfrontal_thickness,0.001058677,,,
lh_isthmuscingulate_thickness,0.001056693,,,
MAPT_H1_beta,0.001055387,,,
steady,0.001054327,,,
FA_SLF_L,0.001053895,,,
otherorthocond,0.001050713,,,
rh_parstriangularis_area,0.001049765,,,
nlldraw,0.001048006,,,
no_enjoy,0.001047634,,,
FA_PLIC_L,0.001046339,,,
SP_MMB_Hopeless,0.001045628,,,
lh_paracentral_meancurv,0.001039693,,,
Right_choroid_plexus,0.001037449,,,
p_VEGF_A_2_cv,0.001036444,,,
RD_PTR_L,0.001033354,,,
MMB_Depressed,0.001032819,,,
lh_parstriangularis_meancurv,0.00103065,,,
bvmdirawret,0.001029621,,,
rh_supramarginal_area,0.001028895,,,
Left_Cerebellum_White_Matter,0.001025575,,,
lh_parahippocampal_area,0.001021868,,,
p_IL_17AGenB_cv,0.001021443,,,
lh_posteriorcingulate_area,0.001020746,,,
lh_postcentral_thickness,0.001018898,,,
axi,0.001017768,,,
rh_caudalanteriorcingulate_thick,0.001017762,,,
bvmdirawbias,0.001015223,,,
FA_SCP_L,0.001012138,,,
loweralc,0.001010412,,,
lh_medialorbitofrontal_area,0.001002018,,,
thinkdead,0.001000985,,,
p_MCP_1_cv,0.001000856,,,
p_VEGF_D_cv,0.000998671,,,
rh_isthmuscingulate_area,0.000997754,,,
mgmomformps,0.000997535,,,
p_IL_23_cv,0.000995595,,,
p_IL_1RA,0.000995232,,,
lh_posteriorcingulate_thickness,0.000992029,,,
RD_PTR_R,0.000989461,,,
SP_MMB_Impulsive,0.000989403,,,
AD_ML_L,0.000988824,,,
MD_ICP_L,0.000987314,,,
rule,0.000986844,,,
AD_ML_R,0.000985326,,,
p_IL_7_cv,0.000984611,,,
nlt1irraw,0.000982593,,,
p_Fit_1,0.000975903,,,
nlldt,0.000975462,,,
totfast,0.000973437,,,
CC_Central,0.000969491,,,
RD_ACR_L,0.000968634,,,
controltemp,0.000966087,,,
p_Eotaxin,0.000959892,,,
nsfraw,0.000958366,,,
lh_cuneus_volume,0.000956108,,,
wratrraw,0.000950788,,,
SubCortGrayVol,0.000949927,,,
ExecSpeedFactor,0.000946662,,,
reactmore,0.000945609,,,
axindex_sum,0.000941286,,,
MD_ACR_L,0.000937202,,,
tangt,0.000933181,,,
p_IL_17D_cv,0.000932924,,,
lh_insula_meancurv,0.000930281,,,
tang,0.00092738,,,
ucla15,0.000925535,,,
rh_superiortemporal_area,0.000924451,,,
poutsulk,0.000921471,,,
nlsdt,0.000921384,,,
rhSurfaceHoles,0.000920928,,,
RD_CGC_L,0.000920771,,,
FA_EC_R,0.000920426,,,
AD_SS_R,0.000913365,,,
aestot,0.000906266,,,
craftvimmz,0.000905017,,,
rh_superiorparietal_thickness,0.000904121,,,
modintsport,0.000903224,,,
AD_ALIC_R,0.000901814,,,
Right_Putamen,0.000898619,,,
lh_caudalmiddlefrontal_area,0.000898569,,,
FA_EC_L,0.000895233,,,
lh_posteriorcingulate_volume,0.00089417,,,
anxdcomorbid___3,0.000890225,,,
p_Eotaxin_cv,0.000889356,,,
Left_Pallidum,0.000884678,,,
ucla17,0.000882381,,,
Right_vessel,0.000881821,,,
rh_superiorparietal_volume,0.000881128,,,
weightpast10,0.000879745,,,
kneef___1,0.00087883,,,
cns_labile_laugh_score,0.000878537,,,
anger,0.000876286,,,
lh_lateralorbitofrontal_thicknes,0.000874786,,,
nlt3irraw,0.000874324,,,
AD_EC_R,0.000873045,,,
worknotfull___4,0.00086972,,,
lh_medialorbitofrontal_thickness,0.000869672,,,
RD_PCR_L,0.000869568,,,
avg_suvr,0.000868782,,,
lh_inferiortemporal_volume,0.000868388,,,
baddream,0.000864316,,,
SP_DEM_AD8_ForgetAppt,0.000864305,,,
FA_SCR_R,0.000862526,,,
AD_AverageAD,0.000862489,,,
lh_parahippocampal_thickness,0.000862483,,,
lh_lingual_thickness,0.000857243,,,
TES_SF_delayed_onset,0.000855962,,,
rh_precentral_thickness,0.000855936,,,
AD_SCP_L,0.000855297,,,
diffconc,0.000853044,,,
lh_inferiorparietal_thickness,0.000850554,,,
self1st,0.000848922,,,
p_IL_16,0.000847232,,,
funchom,0.00084468,,,
rh_fusiform_thickness,0.000844169,,,
rh_pericalcarine_volume,0.000842874,,,
bvmt2,0.000841554,,,
RD_PLIC_L,0.000840845,,,
slam,0.000838564,,,
diffteach,0.000838373,,,
tug_mean,0.000834898,,,
TotalGrayVol,0.000834494,,,
avoidmem,0.000833987,,,
RD_SCP_L,0.000833655,,,
lh_precuneus_thickness,0.00083223,,,
BrainSegVol_to_eTIV,0.000831921,,,
p_CRP,0.000830136,,,
rh_rostralanteriorcingulate_thic,0.000828597,,,
MAPT_PC7,0.000827727,,,
cns_labile_tear_score,0.000827429,,,
lhSurfaceHoles,0.000824186,,,
lh_precuneus_volume,0.000822929,,,
rh_posteriorcingulate_volume,0.000818409,,,
weightdiff,0.000817995,,,
FA_ML_L,0.000814336,,,
nldipct,0.000814138,,,
rh_parsopercularis_area,0.000812293,,,
FA_CP_L,0.000812065,,,
p_IL_3_cv,0.000811954,,,
MAPT_PC3,0.000810913,,,
lh_frontalpole_thickness,0.00080992,,,
SP_MMB_OutOfControl,0.000808055,,,
p_TSLP_cv,0.000807228,,,
FA_SFO_R,0.00080621,,,
p_TARC_cv,0.000805286,,,
Left_Accumbens_area,0.000804889,,,
lh_pericalcarine_area,0.000803424,,,
quicktemp,0.000802363,,,
MAPT_H1_beta_dosage,0.000799877,,,
Left_choroid_plexus,0.000799155,,,
MAPT_PC5,0.000798695,,,
unimport,0.000798612,,,
MD_RLIC_R,0.000797633,,,
MD_FX_ST_L,0.000796203,,,
future,0.000795253,,,
AD_PLIC_R,0.000792706,,,
rh_paracentral_area,0.000791934,,,
littleffort,0.000791625,,,
lh_rostralmiddlefrontal_area,0.000789996,,,
predint,0.00078891,,,
SP_MC_CCI_RecallInfo,0.000782888,,,
lh_middletemporal_meancurv,0.000779019,,,
FA_BCC,0.000778938,,,
lh_parstriangularis_volume,0.000778695,,,
rh_entorhinal_thickness,0.000777275,,,
rh_entorhinal_area,0.000776075,,,
keepcool,0.00077571,,,
lh_paracentral_thickness,0.000772027,,,
events,0.000771936,,,
FA_CGC_R,0.000771828,,,
lh_transversetemporal_thickness,0.000770779,,,
ucla7,0.000769463,,,
rh_rostralmiddlefrontal_thicknes,0.000767807,,,
edufather,0.000766801,,,
AD_CGC_L,0.000763315,,,
Left_Amygdala,0.000762482,,,
RD_CGH_L,0.000761545,,,
crying,0.000761536,,,
tgec,0.000760817,,,
AD_SLF_L,0.000758894,,,
mocatraw,0.000753647,,,
MD_AverageMD,0.000753207,,,
S_FORMPS_ind,0.000752915,,,
MAPT_PC10,0.000750264,,,
MAPT_PC2,0.000749071,,,
p_PlGF,0.000747326,,,
rh_caudalanteriorcingulate_volum,0.000746632,,,
AD_SCR_R,0.000745951,,,
lh_fusiform_meancurv,0.000743455,,,
accomplish,0.000743114,,,
tbri,0.000741752,,,
rh_transversetemporal_area,0.000738636,,,
FA_FX_ST_L,0.000737785,,,
p_IL_17D,0.000734558,,,
lh_parstriangularis_area,0.000734407,,,
AD_SFO_L,0.000733561,,,
rh_caudalmiddlefrontal_area,0.000732359,,,
pastm___2,0.000730378,,,
lh_fusiform_thickness,0.000729192,,,
bvmdrt,0.000727761,,,
lh_caudalanteriorcingulate_volum,0.000724416,,,
nsbraw,0.000723947,,,
lh_frontalpole_area,0.000722764,,,
p_ICAM_1_cv,0.000718123,,,
rh_temporalpole_area,0.000715067,,,
hardsitstill,0.00071498,,,
MD_SCR_R,0.000713322,,,
p_IL_17A_F_cv,0.000711753,,,
MD_PTR_L,0.000710054,,,
craftdel,0.000708532,,,
ptsdd,0.000707378,,,
mocat,0.000706796,,,
rh_precuneus_volume,0.000705699,,,
MD_ICP_R,0.000701867,,,
p_Fit_1_cv,0.00070136,,,
pclclusc,0.000699076,,,
RD_UNC_L,0.000696673,,,
alcdrinkoft,0.000695553,,,
rh_entorhinal_meancurv,0.000692384,,,
messy,0.00068174,,,
mocdrraw,0.000681359,,,
SP_MC_CCI_RemNames,0.00068041,,,
Brain_Stem,0.000680065,,,
outburst,0.000678952,,,
axco_sum,0.000678635,,,
headnecker,0.000674651,,,
MD_CGC_R,0.00067379,,,
racing,0.000672633,,,
RD_RLIC_L,0.000671143,,,
p_TNF_alpha,0.000670027,,,
LocalTauLoad,0.000667647,,,
punish,0.000666188,,,
rh_lateraloccipital_thickness,0.000664175,,,
AD_PTR_R,0.000662948,,,
control_cry,0.000662413,,,
rh_isthmuscingulate_volume,0.000662308,,,
lh_bankssts_area,0.000659369,,,
RD_BCC,0.000655653,,,
lose_control,0.000655564,,,
rh_lateralorbitofrontal_area,0.000652429,,,
p_VEGF_A_cv,0.000651694,,,
Right_VentralDC,0.000648405,,,
MAPT_PC6,0.000644381,,,
p_IL_17A_F,0.000644344,,,
SP_MC_CCI_RemPlaceObj,0.00064419,,,
abb___4,0.000642978,,,
footf___3,0.000642455,,,
RD_ALIC_R,0.000641975,,,
AD_ACR_L,0.000639849,,,
MD_IFO_L,0.000637735,,,
s_alcsubrel,0.000628915,,,
rh_inferiorparietal_meancurv,0.000627092,,,
height_in_eh,0.000626845,,,
MD_ACR_R,0.000624516,,,
SP_MC_CCI_RemUsuallyKept,0.000622183,,,
rh_superiorfrontal_meancurv,0.000621927,,,
chhomelive___10,0.000618021,,,
bttime,0.000616173,,,
intt,0.0006153,,,
p_TNF_beta_cv,0.000611403,,,
BrainSegVol,0.000610858,,,
p_bFGF_cv,0.00061041,,,
argueoth,0.000609657,,,
sdmstz,0.00060867,,,
MD_SCP_L,0.000608376,,,
fear_worst,0.000608278,,,
MAPT_PC9,0.000606267,,,
tugt2raw,0.000606026,,,
FA_ICP_L,0.000604803,,,
rh_caudalmiddlefrontal_meancurv,0.000603335,,,
mocaz,0.000601908,,,
p_IL_9_cv,0.000601736,,,
abis_attention,0.000601503,,,
nlintpct,0.000599159,,,
lh_precuneus_meancurv,0.000598259,,,
brawtime,0.000597828,,,
rh_transversetemporal_thickness,0.000596981,,,
rh_paracentral_thickness,0.000596675,,,
lh_parahippocampal_volume,0.000592949,,,
lh_posteriorcingulate_meancurv,0.00059244,,,
rh_fusiform_area,0.000586195,,,
tenyr,0.000585505,,,
wordres,0.00058536,,,
lh_superiorparietal_volume,0.000584819,,,
bsittot,0.000584647,,,
lh_parsopercularis_thickness,0.000584546,,,
lh_supramarginal_volume,0.000584468,,,
NumberSpanFactor,0.000583463,,,
joloz,0.00058293,,,
P_FORMPS_wp,0.000581687,,,
lh_supramarginal_thickness,0.000580798,,,
rh_rostralmiddlefrontal_area,0.00058074,,,
SurfaceHoles,0.000579844,,,
p_pT181,0.000579534,,,
Optic_Chiasm,0.000579336,,,
AD_EC_L,0.000578264,,,
p_IL_8_2,0.00057737,,,
abf___3,0.000576306,,,
motor2nd,0.000575304,,,
rh_precuneus_meancurv,0.00057375,,,
MAPT_PC8,0.00057073,,,
rh_middletemporal_volume,0.000570534,,,
sudstress,0.000570312,,,
dothink,0.00056954,,,
lh_parsorbitalis_meancurv,0.000567699,,,
rh_inferiorparietal_thickness,0.000566823,,,
nlbirraw,0.000566802,,,
p_IL_16_cv,0.000564616,,,
workorg,0.000563559,,,
RD_SCP_R,0.000561353,,,
lh_fusiform_volume,0.000557913,,,
lh_temporalpole_meancurv,0.000554902,,,
Right_Thalamus,0.00055472,,,
kneerep,0.000553974,,,
RD_EC_L,0.000553705,,,
RD_SCR_R,0.000551382,,,
p_IL_31,0.000549982,,,
rh_cuneus_volume,0.000548463,,,
alctreat___5,0.000548181,,,
lh_cuneus_meancurv,0.00054815,,,
mfi,0.000546854,,,
trailsaz,0.000546776,,,
angry,0.000545256,,,
weightlosshow___8,0.000544775,,,
WM_hypointensities,0.00054472,,,
rh_isthmuscingulate_meancurv,0.000543023,,,
p_NfL,0.000540751,,,
agnstlaw,0.000540208,,,
infreq,0.000540108,,,
workmem,0.000538426,,,
rh_parahippocampal_thickness,0.000537152,,,
colwdt,0.000535262,,,
changeres,0.00053486,,,
lh_insula_thickness,0.000534639,,,
p_IL_1RA_cv,0.000534498,,,
p_IL_31_cv,0.000533275,,,
MAPT_H1_gamma,0.000532079,,,
bri,0.000530335,,,
selfcont,0.000530301,,,
p_IL_12_IL_23p40_cv,0.000529505,,,
p_IL_22,0.000529453,,,
silent,0.000528108,,,
bsittotp,0.000528072,,,
strikeout,0.000527758,,,
lh_fusiform_area,0.000527204,,,
MD_CGH_R,0.000526877,,,
ucla2,0.000523544,,,
p_IL_15,0.000522176,,,
MaskVol,0.000522027,,,
MD_CP_L,0.000522002,,,
self_dislike,0.000521899,,,
rh_supramarginal_meancurv,0.000518607,,,
rh_bankssts_volume,0.000518596,,,
rh_posteriorcingulate_meancurv,0.000518432,,,
baitot,0.000517819,,,
p_IP_10_cv,0.000516478,,,
FA_RLIC_R,0.000516098,,,
physact,0.000514152,,,
RD_EC_R,0.000513185,,,
lh_frontalpole_volume,0.000512076,,,
MMB_Apathetic,0.000511747,,,
footballrel___5,0.000510601,,,
lh_lateralorbitofrontal_meancurv,0.00050816,,,
weightloss10,0.000507302,,,
intres,0.000505227,,,
p_IL_17C_cv,0.000500703,,,
pclclusd,0.00049916,,,
nasald,0.000498727,,,
keepthings,0.000496777,,,
diabtreatnow___2,0.000494227,,,
shoulderf___2,0.000493728,,,
lh_isthmuscingulate_volume,0.000490988,,,
craftvimm,0.000490807,,,
cnscat,0.000490394,,,
lh_lateralorbitofrontal_area,0.000487174,,,
nabfirsta,0.000485675,,,
rh_rostralmiddlefrontal_meancurv,0.000485189,,,
rh_temporalpole_volume,0.00048513,,,
togetherimp,0.000484293,,,
p_bFGF,0.000484222,,,
Right_Amygdala,0.000482944,,,
rh_medialorbitofrontal_area,0.000480537,,,
rh_caudalanteriorcingulate_meanc,0.000479996,,,
calmsoon,0.000478124,,,
ucla12,0.000478101,,,
drugpruse,0.0004772,,,
bdhi_guilt,0.00047592,,,
p_VEGF_C_cv,0.000475615,,,
CC_Posterior,0.000475474,,,
modintwork,0.000471743,,,
FA_CST_L,0.000470796,,,
p_TNF_alpha_cv,0.000469872,,,
homeshare___3,0.000469856,,,
RD_SLF_R,0.000468582,,,
ucla13,0.0004683,,,
rh_lingual_area,0.000464944,,,
rh_caudalmiddlefrontal_thickness,0.000462956,,,
p_IL_8_cv,0.000462902,,,
lessconcerned,0.000462238,,,
FA_IFO_L,0.000461216,,,
lh_middletemporal_thickness,0.000459858,,,
nlrfapct,0.00045801,,,
FA_ALIC_L,0.000457744,,,
FA_IFO_R,0.000457582,,,
nlt2irper,0.000456091,,,
MD_EC_L,0.000455754,,,
lh_parahippocampal_meancurv,0.000454753,,,
edulevel,0.000453912,,,
inhibit,0.000453603,,,
RD_UNC_R,0.000453289,,,
rh_parstriangularis_volume,0.000453245,,,
lh_isthmuscingulate_meancurv,0.000449857,,,
ucla1,0.000447685,,,
slamdoors,0.000447248,,,
rh_postcentral_thickness,0.000446958,,,
lh_bankssts_volume,0.000446363,,,
hit6tot,0.000445506,,,
bdicat,0.000444571,,,
uplegf___3,0.000442756,,,
rh_inferiorparietal_volume,0.000440862,,,
rh_parsopercularis_meancurv,0.000439909,,,
Right_Lateral_Ventricle,0.000438323,,,
ApoE_Result,0.000437612,,,
emotional,0.000437019,,,
nlrfaraw,0.000431393,,,
DEM_AD8_Repeat,0.000431239,,,
p_VEGF_A,0.000431078,,,
Left_Putamen,0.000430507,,,
abis_motor,0.000427955,,,
faqtot,0.000426954,,,
baicat,0.000426734,,,
selfcare,0.000426068,,,
rh_insula_thickness,0.000425354,,,
rhCerebralWhiteMatterVol,0.000422207,,,
motivation,0.000421644,,,
p_IL_17B_cv,0.000420042,,,
do_nice,0.000419573,,,
lh_middletemporal_area,0.000417732,,,
rh_inferiortemporal_volume,0.000417582,,,
g_footballrel,0.000417202,,,
postremr,0.000415923,,,
RD_AverageRD,0.000410396,,,
MD_CST_L,0.000410177,,,
_3rd_Ventricle,0.00040955,,,
craftpdel,0.000407783,,,
bvmt1,0.00040698,,,
excited,0.000406252,,,
ucla8,0.000404966,,,
rh_postcentral_area,0.000404401,,,
exthought,0.000403011,,,
SupraTentorialVolNotVent,0.000402715,,,
lh_cuneus_area,0.000402319,,,
lh_inferiorparietal_volume,0.000401872,,,
rh_rostralanteriorcingulate_area,0.000400811,,,
lh_MeanThickness_thickness,0.000399262,,,
lh_WhiteSurfArea_area,0.000398921,,,
MD_UNC_L,0.000398441,,,
rh_supramarginal_thickness,0.000395472,,,
rh_parahippocampal_meancurv,0.000391148,,,
lh_lingual_area,0.000390702,,,
avoidrem,0.00039025,,,
MD_CGH_L,0.000386863,,,
nplan2nd,0.000386632,,,
VerbalMemoryFactor,0.00038611,,,
MD_SCR_L,0.000384421,,,
newthings,0.000383157,,,
p_IL_27_cv,0.000382911,,,
insurance,0.00038278,,,
rh_parahippocampal_volume,0.000382155,,,
bdhi_negativism,0.000380873,,,
pastmreas2___3,0.00038084,,,
careless,0.000380547,,,
dailyact,0.000379954,,,
initiate,0.000376979,,,
MAPT_H2_gamma_dosage,0.000376355,,,
p_IP_10,0.000372231,,,
children,0.000371301,,,
FA_SCC,0.000369049,,,
weightprefer,0.000368476,,,
tolddaily,0.000367852,,,
MD_PLIC_L,0.000367173,,,
p_IL_22_cv,0.000363017,,,
RD_SFO_R,0.000361783,,,
AD_ICP_L,0.00036115,,,
RD_SFO_L,0.000360317,,,
RD_SS_R,0.000360143,,,
rh_lingual_thickness,0.000359661,,,
worknotfull___5,0.000358894,,,
truth,0.000358402,,,
bother,0.000357195,,,
rh_precuneus_area,0.000357054,,,
buyimp,0.000356111,,,
CerebralWhiteMatterVol,0.000355617,,,
rh_posteriorcingulate_area,0.00035473,,,
sdmstd,0.000353784,,,
ad8tot,0.000351414,,,
bmi,0.000351054,,,
rh_cuneus_thickness,0.000349259,,,
nabfirstd,0.000347344,,,
grouchy,0.000345239,,,
RD_ACR_R,0.000341905,,,
p_IL_13,0.000339297,,,
arawtime,0.000338663,,,
p_alsrel,0.000338634,,,
rh_bankssts_area,0.000337935,,,
finish,0.000337842,,,
rh_precentral_meancurv,0.000334938,,,
workcontunst___5,0.00033474,,,
crntstm___2,0.000334723,,,
